class_name,subject_name,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Class 5,Science,"പ്രകാശസംശ്ലേഷണം പ്രധാനമായും നടക്കുന്നത് സസ്യങ്ങളുടെ ഏത് ഭാഗത്താണ്?",ഇലകൾ,വേര്,തണ്ട്,പൂക്കൾ,A,"പ്രകാശസംശ്ലേഷണം പ്രധാനമായും നടക്കുന്നത് സസ്യങ്ങളുടെ ഇലകളിലാണ്."
Class 5,Science,"ജലം പൂജ്യം ഡിഗ്രി സെൽഷ്യസിൽ തണുത്തു കട്ടയാകുമ്പോൾ ഉണ്ടാകുന്നത് എന്ത്?",നീരാവി,മഞ്ഞ്,ഐസ്,കരി,C,"ജലം പൂജ്യം ഡിഗ്രി സെൽഷ്യസിൽ കട്ടയാകുമ്പോൾ ഐസ് രൂപം കൊള്ളുന്നു."
Class 5,Science,"സൂര്യനിൽ നിന്നും പ്രകാശം ഭൂമിയിലെത്താൻ ഏകദേശം എത്ര സമയമെടുക്കും?",8 മിനിറ്റ്,15 മിനിറ്റ്,1 മിനിറ്റ്,5 മിനിറ്റ്,A,"സൂര്യനിൽ നിന്നും പ്രകാശം ഭൂമിയിലെത്താൻ ഏകദേശം 8 മിനിറ്റ് 20 സെക്കൻഡ് എടുക്കും."
Class 5,Science,"ഭൂമിയുടെ ഏക സ്വാഭാവിക ഉപഗ്രഹം ഏതാണ്?",വ്യാഴം,ചൊവ്വ,ബുധൻ,ചന്ദ്രൻ,D,"ചന്ദ്രൻ ഭൂമിയുടെ ഏക സ്വാഭാവിക ഉപഗ്രഹമാണ്."
Class 5,Science,"മനുഷ്യശരീരത്തിലെ ഏറ്റവും വലിയ അവയവം ഏതാണ്?",കരൾ,ത്വക്ക്,ഹൃദയം,തലച്ചോറ്,B,"മനുഷ്യശരീരത്തിലെ ഏറ്റവും വലിയ അവയവം ത്വക്ക് (Skin) ആണ്."
Class 5,Science,"ശ്വസനത്തിന് ആവശ്യമായ ഏത് വാതകമാണ് സസ്യങ്ങൾ പുറത്തുവിടുന്നത്?",കാർബൺ ഡയോക്സൈഡ്,നൈട്രജൻ,ഓക്സിജൻ,ഹൈഡ്രജൻ,C,"സസ്യങ്ങൾ പ്രകാശസംശ്ലേഷണ സമയത്ത് ഓക്സിജൻ പുറത്തുവിടുകയും ശ്വസനത്തിന് ജീവജാലങ്ങൾ ഇത് ഉപയോഗിക്കുകയും ചെയ്യുന്നു."
Class 5,Science,"താഴെ പറയുന്നവയിൽ വെള്ളത്തിൽ ലയിക്കുന്ന വിറ്റാമിൻ ഏതാണ്?",വിറ്റാമിൻ എ,വിറ്റാമിൻ സി,വിറ്റാമിൻ ഡി,വിറ്റാമിൻ ഇ,B,"വിറ്റാമിൻ സി വെള്ളത്തിൽ ലയിക്കുന്ന വിറ്റാമിൻ ആണ് (വിറ്റാമിൻ ബി, സി എന്നിവ വെള്ളത്തിൽ ലയിക്കുന്നു)."
Class 5,Science,"ദ്രാവകാവസ്ഥയിലുള്ള ഒരേയൊരു ലോഹം ഏതാണ്?",ഇരുമ്പ്,ചെമ്പ്,പാരാസം (മെർക്കുറി),അലുമിനിയം,C,"മെർക്കുറി (പാരാസം) സാധാരണ ഊഷ്മാവിൽ ദ്രാവകാവസ്ഥയിലുള്ള ലോഹമാണ്."
Class 5,Science,"ശബ്ദം ഏറ്റവും വേഗത്തിൽ സഞ്ചരിക്കുന്നത് ഏതിലൂടെയാണ്?",ശൂന്യത,വായു,ജലം,ഖരപദാർത്ഥം,D,"ശബ്ദം ഏറ്റവും വേഗത്തിൽ സഞ്ചരിക്കുന്നത് ഖരപദാർത്ഥങ്ങളിലൂടെയാണ്."
Class 5,Science,"രക്തത്തിന് ചുവപ്പ് നിറം നൽകുന്ന ഘടകം ഏതാണ്?",പ്ലാസ്മ,ഹീമോഗ്ലോബിൻ,ശ്വേതരക്താണുക്കൾ,പ്ലേറ്റ്ലെറ്റുകൾ,B,"ഹീമോഗ്ലോബിൻ എന്ന ഇരുമ്പ് അടങ്ങിയ പ്രോട്ടീൻ ആണ് രക്തത്തിന് ചുവപ്പ് നിറം നൽകുന്നത്."
