class_name,subject_name,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,
2,Class 5,Science,???????? ????? ?????????????? ???????????? ?????????,??????,???????????????,??????????,????,B,???????? ??????????????????? ?????????????? ????? ?????????????? ???????????? ???????????????.
3,Class 5,Science,??????? ?????????? ????????????? ????? ????,????? ?? ???????,???????,???????,???????,C,"??????????? ???????? ????? ??????? ???, ??? ????????? ??? ?????????????? ?????? ???????????????."
4,Class 5,Science,??? ??????????????? ??????? ???????? ????,??????????,???????,???? (Freezing),?????????,C,??? 0 ?????? ????????? ???????????????? ?????????? ??? ??? ??????????? ???? ????? ????????.
5,Class 5,Science,??????? ?????????? ????? ????? ????????? ????? ????,?????,?????,???,?????????,B,????? ??????????? ???????????? ?????????? ??????????????? ????? ????? ??????????.
6,Class 5,Science,???? ??????????? ??????????????????? ????? ????????? ????,???????,??????????,?????????,??????? ?????,C,???????????????? ?????? ?????????? ????????? ?????????? ???????????????????????? ????? ???????????.
7,Class 5,Science,??????? ???? ????????? ??????? ?????????? ????,?????????,???????????,???????,????????,A,???????????????????? ???????????? ????????? ???? ?????????????????? ???????? ???????? ?????????.
8,Class 5,Science,??? ???????? ??????????? ??????????? ????????????????,????,??????,?????,??,C,"????? ??? ??????????, ?? ??????????? ???????? ??????????????, ??????????????."
9,Class 5,Science,?????????? ?????? ????? ??????? ??????? ????,??????????,???????????????,????????????,??????????,B,????????? ????????? ?????? ??????????????????? ?????????? ???????? ??????? ?????????.
10,Class 5,Science,??????????? ?????????? ???????? ????? ????,???????,??????,????????????,?????????,C,"???????????? ??? ??????????????? ?????????, ????? ??????????? ?????????? ????????."
11,Class 5,Science,?????????? ????????? ????,CO2,H2O,O2,NaCl,B,"????? ??????? ?????????? ??? ??????? ??????? ?????????? ???, ?????? ??????? ?????? H2O ???."
